"TOA5","Texas_A&M","CR1000X","23029","CR1000X.Std.05.01","CPU:144937 Texas A&M.CR1X","26106","Table10"
"TIMESTAMP","RECORD","AWS","AWD","SIG","Gust","AvgAT","AvgRH","AvgBP","AvgSR","RNTtl","RNDAY","LTemp","Batt"
"TS","RN","m/sec","Deg","Deg","m/sec","Deg_C","%RH","mbar","Wm2","Inch","Inch","Deg_C","Vdc"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg","Tot","Smp","Max","Min"
"2021-10-07 16:50:00",0,1.28,147,18.27,1.783,32.13,33.17,804,439.5,0,0,37.11,13.03
"2021-10-07 17:00:00",1,1.65,159.1,27.83,3.649,31.96,32.97,1003,417.6,0,0,36.86,12.9
"2021-10-07 17:10:00",2,2.051,171.5,32.98,3.916,31.82,32.77,1005,384.7,0,0,35.97,0
"2021-10-07 17:20:00",3,1.625,166,32.42,2.85,31.78,33.01,980,338.9,0,0,34.82,12.87
"2021-10-07 17:30:00",4,1.088,158.6,31.77,2.316,31.7,33.05,1005,313.4,0,0,34.65,12.86
"2021-10-07 17:40:00",5,1.28,165.2,25.9,2.85,31.77,32.98,1005,278.5,0,0,34.46,12.85
"2021-10-07 17:50:00",6,1.514,168.7,22.66,2.85,31.42,33.01,1005,240.7,0,0,34.23,12.84
"2021-10-07 18:00:00",7,1.433,158.4,25.61,3.383,31.07,33.28,1005,203,0,0,34.17,12.83
"2021-10-07 18:10:00",8,1.234,158.1,23.73,2.05,30.57,33.77,1005,166.4,0,0,34.05,12.82
"2021-10-07 18:20:00",9,1.133,161.8,21,2.316,30.27,34.39,1005,131.4,0,0,33.81,12.81
"2021-10-07 18:30:00",10,1.166,163.5,24.89,3.116,29.75,35.11,1005,98.1,0,0,33.45,12.8
"2021-10-07 18:40:00",11,1.069,156.4,24.79,2.05,29.16,35.99,1005,67.04,0,0,33,12.79
"2021-10-07 18:50:00",12,0.73,154.6,21.64,2.05,28.46,36.99,1005,32.42,0,0,32.42,12.77
"2021-10-07 19:00:00",13,0.602,155.2,16.31,1.25,27.81,37.94,1005,10.8,0,0,31.73,12.76
"2021-10-07 19:10:00",14,0.244,157.8,8.81,1.25,27.01,39.07,1005,4.267,0,0,30.91,12.74
"2021-10-07 19:20:00",15,0.302,146,12.84,0.833,26.32,40.1,1006,1.151,0,0,30,0
"2021-10-07 19:30:00",16,0.022,134.9,6.486,0.417,25.76,39.25,"NAN",0.108,0,0,28.52,0
"2021-10-07 19:40:00",17,0.347,154.7,12.88,1.783,25.49,42.97,1006,0.065,0,0,27.74,12.7
"2021-10-07 19:50:00",18,0.248,130.5,27.05,2.05,25.22,44.18,1006,0.059,0,0,27.05,12.68
"2021-10-07 20:00:00",19,0.204,132.9,14.9,0.833,25.17,45.17,1006,0.057,0,0,26.42,12.67
"2021-10-07 20:10:00",20,0.472,169.6,41.12,1.783,25.13,45.99,1006,0.058,0,0,25.91,12.65
"2021-10-07 20:20:00",21,0.181,150.4,15.98,1.25,25.27,46.54,1006,0.052,0,0,25.47,12.64
"2021-10-07 20:30:00",22,0.037,127.5,9.06,0.417,25.02,47.14,1006,0.053,0,0,25.11,12.62
"2021-10-07 20:40:00",23,0.372,165.4,32.48,1.516,24.77,47.95,1006,0.054,0,0,24.78,12.61
"2021-10-07 20:50:00",24,0.315,178,29.77,1.516,24.84,48.57,1006,0.052,0,0,24.47,12.6
"2021-10-07 21:00:00",25,0.058,61.35,16.46,0.833,24.66,49.09,1006,0.049,0,0,24.21,12.6
"2021-10-07 21:10:00",26,0.083,193.8,23.53,0.417,24.3,49.89,1006,0.051,0,0,23.96,12.59
"2021-10-07 21:20:00",27,0.096,163.7,11.55,0.833,24.2,50.59,1006,0.052,0,0,23.7,12.58
"2021-10-07 21:30:00",28,0.112,160.5,15.01,1.25,24.07,51.19,1006,0.052,0,0,23.46,12.57
"2021-10-07 21:40:00",29,0.292,181.9,24.14,1.25,24.09,51.82,1006,0.054,0,0,23.22,12.56
"2021-10-07 21:50:00",30,0.067,210.4,8.17,0.833,24.17,52.13,1006,0.05,0,0,23.02,12.56
"2021-10-07 22:00:00",31,0.071,61.47,20.12,0.833,24.02,52.55,1006,0.049,0,0,22.85,12.55
"2021-10-07 22:10:00",32,0.079,196.8,11.73,0.833,23.77,53.08,1006,0.05,0,0,22.7,12.55
"2021-10-07 22:20:00",33,0.181,194.2,21.5,1.25,23.61,53.59,1006,0.049,0,0,22.52,12.54
"2021-10-07 22:30:00",34,0.365,122.2,23.49,1.783,23.46,54.23,1006,0.051,0,0,22.36,12.53
"2021-10-07 22:40:00",35,0.179,186.7,23.45,1.25,23.32,54.76,1006,0.051,0,0,22.2,12.53
"2021-10-07 22:50:00",36,0.144,206.7,12.98,1.25,23.18,55.41,1006,0.049,0,0,22.04,12.52
"2021-10-07 23:00:00",37,0.11,159.1,8.36,0.833,23.05,55.91,1006,0.049,0,0,21.88,12.51
"2021-10-07 23:10:00",38,0.244,185.7,11.34,1.25,22.65,56.64,1007,0.05,0,0,21.72,12.51
"2021-10-07 23:20:00",39,0.123,172.3,10.45,0.833,22.34,57.43,1007,0.05,0,0,21.53,12.5
"2021-10-07 23:30:00",40,0.29,193.9,12.45,1.516,22.07,58.33,1007,0.052,0,0,21.33,12.49
"2021-10-07 23:40:00",41,0.863,168.2,21.26,2.05,22.01,58.97,1007,0.051,0,0,21.11,12.49
"2021-10-07 23:50:00",42,0.8,157.5,24.68,1.516,21.63,59.89,1007,0.051,0,0,20.9,12.48
